"","Name","Label","Country_specific","Scale_type","Type","Format","Valid","Invalid","Question","Group"
"49","prtvtesi","Party voted for in last national election, Slovenia","yes","nominal","discrete","numeric-2.0",650,43737,"B14SI Which party did you vote for in that election? (Slovenia)","Group Politics"
"50","contplt","Contacted politician or government official last 12 months","no","binary","discrete","numeric-1.0",44265,122,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going wrong. During the last 12 months, have you done any of the following? Have you... ...contacted a politician, government or local government official?","Group Politics"
"51","wrkprty","Worked in political party or action group last 12 months","no","binary","discrete","numeric-1.0",44275,112,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...worked in a political party or action group?","Group Politics"
"52","wrkorg","Worked in another organisation or association last 12 months","no","binary","discrete","numeric-1.0",44258,129,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...worked in another organisation or association?","Group Politics"
"53","badge","Worn or displayed campaign badge/sticker last 12 months","no","binary","discrete","numeric-1.0",44261,126,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...worn or displayed a campaign badge/sticker?","Group Politics"
"54","sgnptit","Signed petition last 12 months","no","binary","discrete","numeric-1.0",44199,188,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...signed a petition?","Group Politics"
"55","pbldmn","Taken part in lawful public demonstration last 12 months","no","binary","discrete","numeric-1.0",44252,135,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...taken part in a lawful public demonstration?","Group Politics"
"56","bctprd","Boycotted certain products last 12 months","no","binary","discrete","numeric-1.0",44173,214,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...contacted a politician, government or local government official?","Group Politics"
"57","pstplonl","Posted or shared anything about politics online last 12 months","no","binary","discrete","numeric-1.0",44211,176,"pstplonl? ","Group Politics"
"58","clsprty","Feel closer to a particular party than all other parties","no","binary","discrete","numeric-1.0",43209,1178,"B23 Is there a particular political party you feel closer to than all the other parties?","Group Politics"
"59","prtclcat","Which party feel closer to, Austria","yes","nominal","discrete","numeric-2.0",869,43518,"B24AT Which one? (Austria)","Group Politics"
"60","prtclcbe","Which party feel closer to, Belgium","yes","nominal","discrete","numeric-2.0",851,43536,"B24BE Which one? (Belgium)","Group Politics"
"61","prtclfch","Which party feel closer to, Switzerland","yes","nominal","discrete","numeric-2.0",812,43575,"B24CH Which one? (Switzerland)","Group Politics"
"62","prtcldcz","Which party feel closer to, Czechia","yes","nominal","discrete","numeric-2.0",785,43602,"B24CZ Which one? (Czechia)","Group Politics"
"63","prtclede","Which party feel closer to, Germany","yes","nominal","discrete","numeric-2.0",1498,42889,"B24DE Which one? (Germany)","Group Politics"
"64","prtclfee","Which party feel closer to, Estonia","yes","nominal","discrete","numeric-2.0",795,43592,"B24EE Which one? (Estonia)","Group Politics"
"65","prtclees","Which party feel closer to, Spain","yes","nominal","discrete","numeric-2.0",1066,43321,"B24ES Which one? (Spain)","Group Politics"
"66","prtcldfi","Which party feel closer to, Finland","yes","nominal","discrete","numeric-2.0",1024,43363,"B24FI Which one? (Finland)","Group Politics"
"67","prtclefr","Which party feel closer to, France","yes","nominal","discrete","numeric-2.0",973,43414,"B24FR Which one? (France)","Group Politics"
"68","prtclbgb","Which party feel closer to, United Kingdom","yes","nominal","discrete","numeric-2.0",1022,43365,"B24GB Which one? (United Kingdom)","Group Politics"
"69","prtclfhu","Which party feel closer to, Hungary","yes","nominal","discrete","numeric-2.0",603,43784,"B24HU Which one? (Hungary)","Group Politics"
"70","prtcldie","Which party feel closer to, Ireland","yes","nominal","discrete","numeric-2.0",860,43527,"B24IE Which one? (Ireland)","Group Politics"
"71","prtcldil","Which party feel closer to, Israel","yes","nominal","discrete","numeric-2.0",1013,43374,"B24IL Which one? (Israel)","Group Politics"
"72","prtclbis","Which party feel closer to, Iceland","yes","nominal","discrete","numeric-2.0",442,43945,"B24IS Which one? (Iceland)","Group Politics"
"73","prtclcit","Which party feel closer to, Italy","yes","nominal","discrete","numeric-2.0",742,43645,"B24IT Which one? (Italy)","Group Politics"
"74","prtclblt","Which party feel closer to, Lithuania","yes","nominal","discrete","numeric-2.0",499,43888,"B24LT Which one? (Lithuania)","Group Politics"
"75","prtclenl","Which party feel closer to, Netherlands","yes","nominal","discrete","numeric-2.0",886,43501,"B24NL Which one? (Netherlands)","Group Politics"
"76","prtclbno","Which party feel closer to, Norway","yes","nominal","discrete","numeric-2.0",1043,43344,"B24NO Which one? (Norway)","Group Politics"
"77","prtclgpl","Which party feel closer to, Poland","yes","nominal","discrete","numeric-2.0",484,43903,"B24PL Which one? (Poland)","Group Politics"
"78","prtclept","Which party feel closer to, Portugal","yes","nominal","discrete","numeric-2.0",738,43649,"B24PT Which one? (Portugal)","Group Politics"
"79","prtcldru","Which party feel closer to, Russian Federation","yes","nominal","discrete","numeric-2.0",884,43503,"B24RU Which one? (Russian Federation)","Group Politics"
"80","prtclbse","Which party feel closer to, Sweden","yes","nominal","discrete","numeric-2.0",935,43452,"B24SE Which one? (Sweden)","Group Politics"
"81","prtclesi","Which party feel closer to, Slovenia","yes","nominal","discrete","numeric-2.0",428,43959,"B24SI Which one? (Slovenia)","Group Politics"
"82","prtdgcl","How close to party","no","ordinal","discrete","numeric-1.0",19067,25320,"B25 How close do you feel to this party? Do you feel that you are ...","Group Politics"
"83","lrscale","Placement on left right scale","no","ordinal","discrete","numeric-2.0",38583,5804,"B26 In politics people sometimes talk of 'left' and 'right'. Using this card, where would you place yourself on this scale, where 0 means the left and 10 means the right?","Group Politics"
"84","stflife","How satisfied with life as a whole","no","ordinal","discrete","numeric-2.0",44200,187,"B27 All things considered, how satisfied are you with your life as a whole nowadays? Please answer using this card, where 0 means extremely dissatisfied and 10 means extremely satisfied.","Group Politics"
"85","stfeco","How satisfied with present state of economy in country","no","ordinal","discrete","numeric-2.0",43501,886,"B28 On the whole how satisfied are you with the present state of the economy in [country]?","Group Politics"
"86","stfgov","How satisfied with the national government","no","ordinal","discrete","numeric-2.0",43226,1161,"B29 Now thinking about the [country] government, how satisfied are you with the way it is doing its job?","Group Politics"
"87","stfdem","How satisfied with the way democracy works in country","no","ordinal","discrete","numeric-2.0",42896,1491,"B30 And on the whole, how satisfied are you with the way democracy works in [country]?","Group Politics"
"88","stfedu","State of education in country nowadays","no","ordinal","discrete","numeric-2.0",42818,1569,"B31 Now, using this card, please say what you think overall about the state of education in [country] nowadays?","Group Politics"
"89","stfhlth","State of health services in country nowadays","no","ordinal","discrete","numeric-2.0",44070,317,"B32 Still using this card, please say what you think overall about the state of health services in [country] nowadays?","Group Politics"
"90","gincdif","Government should reduce differences in income levels","no","ordinal","discrete","numeric-1.0",43715,672,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. The government should take measures to reduce differences in income levels","Group Politics"
"91","mnrgtjb","Men should have more right to job than women when jobs are scarce","no","ordinal","discrete","numeric-1.0",43888,499,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. When jobs are scarce, men should have more right to a job than women.","Group Politics"
"92","freehms","Gays and lesbians free to live life as they wish","no","ordinal","discrete","numeric-1.0",43184,1203,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. Gay men and lesbians should be free to live their own life as they wish","Group Politics"
"93","hmsfmlsh","Ashamed if close family member gay or lesbian","no","ordinal","discrete","numeric-1.0",42767,1620,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. If a close family member was a gay man or a lesbian, I would feel ashamed.","Group Politics"
"94","hmsacld","Gay and lesbian couples right to adopt children","no","ordinal","discrete","numeric-1.0",42937,1450,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. Gay male and lesbian couples should have the same rights to adopt children as straight couples.","Group Politics"
"95","euftf","European Union: European unification go further or gone too far","no","ordinal","discrete","numeric-2.0",40776,3611,"B37 Now thinking about the European Union, some say European unification should go further. Others say it has already gone too far. Using this card,
what number on the scale best describes your position?","Group Politics"
"96","imsmetn","Allow many/few immigrants of same race/ethnic group as majority","no","ordinal","discrete","numeric-1.0",43236,1151,"B38 Now, using this card, to what extent do you think [country] should allow people of the same race or ethnic group as most [country] people to come and live here?","Group Politics"
"97","imdfetn","Allow many/few immigrants of different race/ethnic group from majority","no","ordinal","discrete","numeric-1.0",43136,1251,"B39 How about people of a different race or ethnic group from most [country] people?","Group Politics"
"98","impcntr","Allow many/few immigrants from poorer countries outside Europe","no","ordinal","discrete","numeric-1.0",42937,1450,"B40 How about people from the poorer countries outside Europe?","Group Politics"
"99","imbgeco","Immigration bad or good for country's economy","no","ordinal","discrete","numeric-2.0",42825,1562,"B41 Would you say it is generally bad or good for [country]'s economy that people come to live here from other countries?","Group Politics"
"100","imueclt","Country's cultural life undermined or enriched by immigrants","no","ordinal","discrete","numeric-2.0",42984,1403,"B42 And, using this card, would you say that [country]'s cultural life is generally undermined or enriched by people coming to live here from other countries?","Group Politics"
"101","imwbcnt","Immigrants make country worse or better place to live","no","ordinal","discrete","numeric-2.0",42825,1562,"B43 Is [country] made a worse or a better place to live by people coming to live here from other countries?","Group Politics"
"102","happy","How happy are you","no","ordinal","discrete","numeric-2.0",44172,215,"C1 Taking all things together, how happy would you say you are?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"103","sclmeet","How often socially meet with friends, relatives or colleagues","no","ordinal","discrete","numeric-2.0",44178,209,"C2 Using this card, how often do you meet socially with friends, relatives or work colleagues?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"104","inprdsc","How many people with whom you can discuss intimate and personal matters","no","ordinal","discrete","numeric-2.0",43866,521,"C3 How many people, if any, are there with whom you can discuss intimate and personal matters?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"105","sclact","Take part in social activities compared to others of same age","no","ordinal","discrete","numeric-1.0",43532,855,"C4 Compared to other people of your age, how often would you say you take part in social activities?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"106","crmvct","Respondent or household member victim of burglary/ assault last 5 years","no","binary","discrete","numeric-1.0",44225,162,"C5 Have you or a member of your household been the victim of a burglary or assault in the last 5 years?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"107","aesfdrk","Feeling of safety of walking alone in local area after dark","no","ordinal","discrete","numeric-1.0",43992,395,"C6 How safe do you - or would you
- feel walking alone in this area after dark? Do - or would - you feel...","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"108","health","Subjective general health","no","ordinal","discrete","numeric-1.0",44328,59,"C7 How is your health in general? Would you say it is ...","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"109","hlthhmp","Hampered in daily activities by illness/disability/infirmity/ mental problem","no","ordinal","discrete","numeric-1.0",44213,174,"C8 Are you hampered in your daily activities in any way by any longstanding illness, or disability,
infirmity or mental health problem? If yes, is that a lot or to some extent?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"110","atchctr","How emotionally attached to [country]","no","ordinal","discrete","numeric-2.0",44152,235,"C9 How emotionally attached do you feel to [country]? Please choose a number from 0 to 10, where 0 means not at all emotionally attached and 10 means
very emotionally attached.","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"111","atcherp","How emotionally attached to Europe","no","ordinal","discrete","numeric-2.0",43699,688,"C10 And how emotionally attached do you feel to Europe?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"112","rlgblg","Belonging to particular religion or denomination","no","binary","discrete","numeric-1.0",44086,301,"C11 Do you consider yourself as belonging to any particular religion or denomination?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"113","rlgdnm","Religion or denomination belonging to at present","no","nominal","discrete","numeric-2.0",26123,18264,"C12 Which one?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"114","rlgdnbat","Religion or denomination belonging to at present, Austria","yes","nominal","discrete","numeric-4.0",1453,42934,"C12AT Which one? (Austria)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"115","rlgdnbe","Religion or denomination belonging to at present, Belgium","yes","nominal","discrete","numeric-4.0",801,43586,"C12BE Which one? (Belgium)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"116","rlgdnach","Religion or denomination belonging to at present, Switzerland","yes","nominal","discrete","numeric-4.0",930,43457,"C12CH Which one? (Switzerland)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"117","rlgdnade","Religion or denomination belonging to at present, Germany","yes","nominal","discrete","numeric-4.0",1549,42838,"C12DE Which one? (Germany)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"118","rlgdnafi","Religion or denomination belonging to at present, Finland","yes","nominal","discrete","numeric-4.0",1064,43323,"C12FI Which one? (Finland)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"119","rlgdngb","Religion or denomination belonging to at present, United Kingdom","yes","nominal","discrete","numeric-4.0",915,43472,"C12GB Which one? (United Kingdom)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"120","rlgdnhu","Religion or denomination belonging to at present, Hungary","yes","nominal","discrete","numeric-4.0",805,43582,"C12HU Which one? (Hungary)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"121","rlgdnie","Religion or denomination belonging to at present, Ireland","yes","nominal","discrete","numeric-4.0",2033,42354,"C12IE Which one? (Ireland)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"122","rlgdnis","Religion or denomination belonging to at present, Iceland","yes","nominal","discrete","numeric-4.0",413,43974,"C12IS Which one? (Iceland)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"123","rlgdnlt","Religion or denomination belonging to at present, Lithuania","yes","nominal","discrete","numeric-4.0",1847,42540,"C12LT Which one? (Lithuania)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"124","rlgdnnl","Religion or denomination belonging to at present, Netherlands","yes","nominal","discrete","numeric-4.0",553,43834,"C12NL Which one? (Netherlands)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"125","rlgdnno","Religion or denomination belonging to at present, Norway","yes","nominal","discrete","numeric-4.0",823,43564,"C12NO Which one? (Norway)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"126","rlgdnapl","Religion or denomination belonging to at present, Poland","yes","nominal","discrete","numeric-4.0",1520,42867,"C12PL Which one? (Poland)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"127","rlgdnase","Religion or denomination belonging to at present, Sweden","yes","nominal","discrete","numeric-4.0",561,43826,"C12SE Which one? (Sweden)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"128","rlgblge","Ever belonging to particular religion or denomination","no","binary","discrete","numeric-1.0",17836,26551,"C13 Have you ever considered yourself as belonging to any particular religion or denomination?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"129","rlgdnme","Religion or denomination belonging to in the past","no","nominal","discrete","numeric-2.0",4494,39893,"C14 Which one?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"130","rlgdebat","Religion or denomination belonging to in the past, Austria","yes","nominal","discrete","numeric-4.0",224,44163,"C14AT Which one? (Austria)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"131","rlgdebe","Religion or denomination belonging to in the past, Belgium","yes","nominal","discrete","numeric-4.0",348,44039,"C14BE Which one? (Belgium)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"132","rlgdeach","Religion or denomination belonging to in the past, Switzerland","yes","nominal","discrete","numeric-4.0",263,44124,"C14CH Which one? (Switzerland)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"133","rlgdeade","Religion or denomination belonging to in the past, Germany","yes","nominal","discrete","numeric-4.0",418,43969,"C14DE Which one? (Germany)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"134","rlgdeafi","Religion or denomination belonging to in the past, Finland","yes","nominal","discrete","numeric-4.0",220,44167,"C14FI Which one? (Finland)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"135","rlgdegb","Religion or denomination belonging to in the past, United Kingdom","yes","nominal","discrete","numeric-4.0",294,44093,"C14GB Which one? (United Kingdom)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"136","rlgdehu","Religion or denomination belonging to in the past, Hungary","yes","nominal","discrete","numeric-4.0",52,44335,"C14HU Which one? (Hungary)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"137","rlgdeie","Religion or denomination belonging to in the past, Ireland","yes","nominal","discrete","numeric-4.0",329,44058,"C14IE Which one? (Ireland)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"138","rlgdeis","Religion or denomination belonging to in the past, Iceland","yes","nominal","discrete","numeric-4.0",192,44195,"C14IS Which one? (Iceland)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"139","rlgdelt","Religion or denomination belonging to in the past, Lithuania","yes","nominal","discrete","numeric-4.0",26,44361,"C14LT Which one? (Lithuania)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"140","rlgdenl","Religion or denomination belonging to in the past, Netherlands","yes","nominal","discrete","numeric-4.0",441,43946,"C14NL Which one? (Netherlands)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"141","rlgdeno","Religion or denomination belonging to in the past, Norway","yes","nominal","discrete","numeric-4.0",274,44113,"C14NO Which one? (Norway)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"142","rlgdeapl","Religion or denomination belonging to in the past, Poland","yes","nominal","discrete","numeric-4.0",94,44293,"C14PL Which one? (Poland)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"143","rlgdease","Religion or denomination belonging to in the past, Sweden","yes","nominal","discrete","numeric-4.0",161,44226,"C14SE Which one? (Sweden)","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"144","rlgdgr","How religious are you","no","ordinal","discrete","numeric-2.0",43984,403,"C15 Regardless of whether you belong to a particular religion, how religious would you say you are?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"145","rlgatnd","How often attend religious services apart from special occasions","no","ordinal","discrete","numeric-2.0",44038,349,"C16 Apart from special occasions such as weddings and funerals, about how often do you attend religious services nowadays?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"146","pray","How often pray apart from at religious services","no","ordinal","discrete","numeric-2.0",43411,976,"C17 Apart from when you are at religious services, how often, if at all, do you pray?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"147","dscrgrp","Member of a group discriminated against in this country","no","binary","discrete","numeric-1.0",44045,342,"C18 Would you describe yourself as being a member of a group that is
discriminated against in this country?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"148","dscrrce","Discrimination of respondent's group: colour or race","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Colour or race","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
